iter	Recall	Logloss
85	0.7286432161	0.5682292637
86	0.7286432161	0.5680742316
87	0.7286432161	0.5678692459
88	0.7286432161	0.5678692459
89	0.7286432161	0.5678692459
90	0.7286432161	0.5678640669
91	0.7286432161	0.5642285865
92	0.7286432161	0.5642285722
93	0.7286432161	0.5642285673
94	0.7286432161	0.5640023932
95	0.7336683417	0.5628678483
96	0.7336683417	0.5623462817
97	0.7336683417	0.5619412818
98	0.7286432161	0.5610309098
99	0.7336683417	0.5608698312
100	0.7386934673	0.5573193465
101	0.7386934673	0.5572895701
102	0.7386934673	0.556936665
103	0.7386934673	0.556936661
104	0.7386934673	0.5561042717
105	0.7386934673	0.5552294347
106	0.7386934673	0.5552271197
107	0.7386934673	0.5552165876
108	0.7386934673	0.5552165741
109	0.743718593	0.5546925811
110	0.7487437186	0.5529725875
111	0.7487437186	0.5529725148
112	0.7487437186	0.5528342357
113	0.7487437186	0.552164178
114	0.7487437186	0.5521641621
115	0.7487437186	0.5521378639
116	0.7487437186	0.5521302855
117	0.7487437186	0.5521302822
118	0.7487437186	0.5521273926
119	0.7487437186	0.5517147242
120	0.7487437186	0.5510493893
121	0.7487437186	0.5509785836
122	0.7487437186	0.5509741072
123	0.7487437186	0.5457864079
124	0.7487437186	0.5444920015
125	0.7487437186	0.5444914985
126	0.7537688442	0.5436232108
127	0.7537688442	0.5436200839
128	0.7537688442	0.5436197319
129	0.7537688442	0.5435690522
130	0.7537688442	0.5435238595
131	0.7537688442	0.543523586
132	0.7537688442	0.5434532314
133	0.7537688442	0.5432922742
134	0.7537688442	0.5430806211
135	0.7537688442	0.543076802
136	0.7537688442	0.5427600733
137	0.7537688442	0.5427599125
138	0.7537688442	0.5406804996
139	0.7537688442	0.5402384387
140	0.7537688442	0.5402346176
141	0.7537688442	0.5402345731
142	0.7537688442	0.5402345673
143	0.7537688442	0.5402344431
144	0.7537688442	0.5382832259
145	0.7537688442	0.5382830619
146	0.7537688442	0.5382830024
147	0.7537688442	0.5381400361
148	0.7537688442	0.5381399051
149	0.7537688442	0.5381399006
150	0.7537688442	0.5378125522
151	0.7638190955	0.5376874791
152	0.7638190955	0.537684276
153	0.7638190955	0.5376840451
154	0.7638190955	0.5376839454
155	0.7638190955	0.5376838619
156	0.7638190955	0.5376838391
157	0.7587939698	0.5372930655
158	0.7638190955	0.5369012003
159	0.7537688442	0.5361227458
160	0.7587939698	0.5357660239
161	0.7638190955	0.5354763683
162	0.7638190955	0.5354763525
163	0.7638190955	0.5354606435
164	0.7638190955	0.535448298
165	0.7638190955	0.5354470585
166	0.7638190955	0.5354470535
167	0.7638190955	0.5354470333
168	0.7638190955	0.535446995
169	0.7638190955	0.5354469795
170	0.7638190955	0.5353577463
171	0.7638190955	0.5352627416
172	0.7638190955	0.5352575025
173	0.7638190955	0.5351492218
174	0.7638190955	0.5346288897
175	0.7638190955	0.5342801699
176	0.7638190955	0.5342055772
177	0.7638190955	0.5340818443
178	0.7638190955	0.5340816379
179	0.7638190955	0.5340805668
180	0.7638190955	0.5340805658
181	0.7638190955	0.534066445
182	0.7638190955	0.5340664306
183	0.7638190955	0.5340580103
184	0.7638190955	0.5337460009
185	0.7638190955	0.53320128
186	0.7638190955	0.5315196449
187	0.7688442211	0.5312654814
188	0.7688442211	0.5312540167
189	0.7688442211	0.5312539907
190	0.7688442211	0.5312002727
191	0.7688442211	0.5308821016
192	0.7688442211	0.5308820371
193	0.7688442211	0.5308819914
194	0.7688442211	0.530645817
195	0.7738693467	0.5304023427
196	0.7738693467	0.5303293094
197	0.7738693467	0.5303293081
198	0.7738693467	0.5298692837
199	0.7738693467	0.5298692506
200	0.7738693467	0.5298669679
201	0.7738693467	0.5296521144
202	0.7638190955	0.5281025616
203	0.7638190955	0.5280991505
204	0.7638190955	0.5280481602
205	0.7738693467	0.5265466253
206	0.7788944724	0.5262511167
207	0.7788944724	0.5262510767
208	0.7788944724	0.5262064611
209	0.7788944724	0.5261299956
210	0.7788944724	0.5261095486
211	0.7788944724	0.5261095482
212	0.7788944724	0.5261095478
213	0.7738693467	0.5256663244
214	0.7738693467	0.525666317
215	0.7738693467	0.5256663029
216	0.7738693467	0.5256662991
217	0.7738693467	0.5256662919
218	0.7788944724	0.5227230931
219	0.7788944724	0.5227209793
220	0.7738693467	0.5219396226
221	0.7738693467	0.5217104717
222	0.7738693467	0.5216504992
223	0.7788944724	0.5207365342
224	0.7788944724	0.520568723
225	0.7788944724	0.5205686995
226	0.7788944724	0.5205014098
227	0.7788944724	0.5203878203
228	0.7788944724	0.5203878003
229	0.7688442211	0.5192352145
230	0.7688442211	0.5190691758
231	0.7688442211	0.5155438009
232	0.7688442211	0.5155432086
233	0.7688442211	0.51554266
234	0.7688442211	0.5155252526
235	0.7688442211	0.5155247868
236	0.7688442211	0.5153757737
237	0.7738693467	0.5147813074
238	0.7688442211	0.5144211702
239	0.7738693467	0.5143091713
240	0.7738693467	0.5143088878
241	0.7738693467	0.5143086252
242	0.7738693467	0.5143073376
243	0.7738693467	0.5142884351
244	0.7738693467	0.5142883975
245	0.7738693467	0.514151821
246	0.7788944724	0.514040271
247	0.7788944724	0.5140400973
248	0.7738693467	0.5133987654
249	0.7738693467	0.5131587721
250	0.7738693467	0.5131587248
251	0.7738693467	0.5131586059
252	0.7738693467	0.5131281148
253	0.7738693467	0.51205323
254	0.7688442211	0.5118670265
255	0.7688442211	0.51095048
256	0.7688442211	0.5109496615
257	0.7688442211	0.5108627768
258	0.7688442211	0.5103385013
259	0.7788944724	0.5078134622
260	0.7788944724	0.5075678694
261	0.7788944724	0.507565978
262	0.7788944724	0.5075595947
263	0.7788944724	0.5071710526
264	0.7788944724	0.5071710235
265	0.7788944724	0.5071635037
266	0.7788944724	0.506235176
267	0.7788944724	0.5061616406
268	0.7788944724	0.5061616015
269	0.783919598	0.5058917408
270	0.783919598	0.5058916815
271	0.7788944724	0.5046193342
272	0.7788944724	0.504619332
273	0.7788944724	0.5042681206
274	0.7788944724	0.5040201749
275	0.7788944724	0.5039898101
276	0.783919598	0.5035208415
277	0.783919598	0.5035208399
278	0.783919598	0.5035196533
279	0.783919598	0.5035196477
280	0.783919598	0.503264696
281	0.783919598	0.503264693
282	0.783919598	0.4996355939
283	0.783919598	0.4996340215
284	0.783919598	0.4992099102
285	0.783919598	0.4991753438
286	0.783919598	0.4991746102
287	0.783919598	0.4988761237
288	0.783919598	0.4987930698
289	0.783919598	0.4987291645
290	0.783919598	0.4987286364
291	0.7939698492	0.495719441
292	0.7939698492	0.4939135259
293	0.7989949749	0.4926165759
294	0.7939698492	0.4923580928
295	0.8090452261	0.4908466342
296	0.8040201005	0.4889128083
297	0.8040201005	0.4886768972
298	0.8040201005	0.4885673955
299	0.8040201005	0.4885218346
300	0.8040201005	0.4874198528
301	0.8040201005	0.4851144
302	0.8040201005	0.4848031216
303	0.8040201005	0.48369897
304	0.8040201005	0.4821726168
305	0.8040201005	0.4821311753
306	0.8040201005	0.4809264808
307	0.8040201005	0.480904269
308	0.8040201005	0.480864945
309	0.8040201005	0.479781753
310	0.8090452261	0.4774543586
311	0.8140703518	0.4756211351
312	0.8140703518	0.4755757627
313	0.8040201005	0.4750573341
314	0.8040201005	0.4744555494
315	0.8040201005	0.4741710235
316	0.8040201005	0.4741704392
317	0.8040201005	0.472831028
318	0.8090452261	0.4701452803
319	0.824120603	0.469161494
320	0.8291457286	0.4681264991
321	0.824120603	0.4675863244
322	0.824120603	0.4646824252
323	0.8291457286	0.463399773
324	0.8291457286	0.463054637
325	0.8291457286	0.4630379616
326	0.8291457286	0.461815143
327	0.8291457286	0.4611147898
328	0.8341708543	0.4602614046
329	0.8341708543	0.4597624548
330	0.8341708543	0.4591215549
331	0.8341708543	0.4565407747
332	0.8391959799	0.4545595431
333	0.8391959799	0.4533239807
334	0.8391959799	0.453009776
335	0.8391959799	0.4525636074
336	0.8391959799	0.4522763705
337	0.8442211055	0.450934078
338	0.8442211055	0.4498475954
339	0.8442211055	0.4492283015
340	0.8442211055	0.4478508831
341	0.8492462312	0.447134689
342	0.8492462312	0.4461929593
343	0.8492462312	0.445600961
344	0.8492462312	0.4453192266
345	0.8492462312	0.4446703456
346	0.8492462312	0.4438511414
347	0.8492462312	0.4436281059
348	0.8492462312	0.4434846826
349	0.8492462312	0.4427601272
350	0.8492462312	0.4421281669
351	0.8542713568	0.4415007926
352	0.8542713568	0.440917023
353	0.8492462312	0.4402043696
354	0.8492462312	0.4396797717
355	0.8492462312	0.4390614077
356	0.8542713568	0.4383759646
357	0.8542713568	0.437127779
358	0.8542713568	0.4352977336
359	0.8592964824	0.4340249457
360	0.8592964824	0.4330269075
361	0.864321608	0.4321286069
362	0.8592964824	0.4316308297
363	0.864321608	0.4300174044
364	0.864321608	0.4287109059
365	0.864321608	0.4282749366
366	0.864321608	0.428100793
367	0.864321608	0.4275625097
368	0.8693467337	0.4270746395
369	0.8693467337	0.4254053081
370	0.8743718593	0.4245368611
371	0.8743718593	0.4242217317
372	0.8743718593	0.423925587
373	0.8743718593	0.4226119492
374	0.8793969849	0.4209754964
375	0.8793969849	0.4201947154
376	0.8793969849	0.418987258
377	0.8793969849	0.4171952876
378	0.8793969849	0.4167609425
379	0.8743718593	0.415613006
380	0.8693467337	0.4148388496
381	0.8693467337	0.4143942118
382	0.8743718593	0.413348629
383	0.8743718593	0.4114665259
384	0.8743718593	0.4099755808
385	0.8743718593	0.4087990675
386	0.8743718593	0.4078499666
387	0.8793969849	0.4074906095
388	0.8844221106	0.4064036604
389	0.8844221106	0.4063125223
390	0.8894472362	0.4054510017
391	0.8944723618	0.4043182763
392	0.8944723618	0.4038805804
393	0.8944723618	0.4035333609
394	0.8944723618	0.4027696347
395	0.8944723618	0.4017212426
396	0.8944723618	0.4013145429
397	0.8944723618	0.4012650773
398	0.8944723618	0.4009511926
399	0.8944723618	0.4000863261
400	0.8944723618	0.399677864
401	0.8944723618	0.3987408866
402	0.8944723618	0.3976825677
403	0.8944723618	0.3973395821
404	0.8994974874	0.3959898986
405	0.8994974874	0.3958293143
406	0.8994974874	0.39557962
407	0.8994974874	0.3955101376
408	0.8994974874	0.3952087239
409	0.8994974874	0.3949941171
410	0.8994974874	0.3945651863
411	0.8994974874	0.3942738359
412	0.8994974874	0.3936918024
413	0.8994974874	0.3935613675
414	0.8994974874	0.3933275498
415	0.8994974874	0.3927890071
416	0.8994974874	0.3923717559
417	0.8994974874	0.3919679614
418	0.8994974874	0.3918370564
419	0.8994974874	0.3902159825
420	0.8994974874	0.3894007306
421	0.8994974874	0.3893494692
422	0.8994974874	0.3879583139
423	0.8994974874	0.3878552932
424	0.8994974874	0.387771569
425	0.8994974874	0.3874160522
426	0.8994974874	0.3867465011
427	0.8994974874	0.3865357268
428	0.8994974874	0.3860437418
429	0.8994974874	0.3855824066
430	0.8994974874	0.3844698708
431	0.8994974874	0.3839666776
432	0.8994974874	0.383926798
433	0.8994974874	0.3838381332
434	0.8994974874	0.3837554699
435	0.8994974874	0.382553149
436	0.8994974874	0.3822760191
437	0.8994974874	0.3807015672
438	0.8994974874	0.3804693914
439	0.8994974874	0.3803790243
440	0.8994974874	0.3800496513
441	0.8994974874	0.3787015799
442	0.8994974874	0.3782739017
443	0.8994974874	0.3781084169
444	0.8994974874	0.3780341211
445	0.8994974874	0.3773965715
446	0.8994974874	0.3766042738
447	0.8994974874	0.3763865668
448	0.8994974874	0.3756382037
449	0.8994974874	0.3752170182
450	0.8994974874	0.3751276695
451	0.8994974874	0.3743959884
452	0.8994974874	0.3743055476
453	0.8994974874	0.3735934201
454	0.8994974874	0.372560857
455	0.8994974874	0.3725177868
456	0.8994974874	0.3719351437
457	0.9045226131	0.3715978272
458	0.9045226131	0.3705680018
459	0.9045226131	0.37047864
460	0.9045226131	0.3704112072
461	0.9045226131	0.3703478207
462	0.9045226131	0.3703084432
463	0.9045226131	0.3701844568
464	0.9045226131	0.3695687719
465	0.9045226131	0.3687005499
466	0.9045226131	0.3685590348
467	0.9045226131	0.3684598389
468	0.9045226131	0.3680011797
469	0.9045226131	0.3679382315
470	0.9045226131	0.367815768
471	0.9045226131	0.367691007
472	0.9045226131	0.3669006191
473	0.9045226131	0.3668336293
474	0.9045226131	0.3663548779
475	0.9045226131	0.3656652222
476	0.9045226131	0.365226901
477	0.9045226131	0.363973398
478	0.9045226131	0.3637661399
479	0.9045226131	0.3632228898
480	0.9045226131	0.3631188134
481	0.9045226131	0.3630914731
482	0.9045226131	0.3628938485
483	0.9045226131	0.3618524121
484	0.9045226131	0.3615669771
485	0.9045226131	0.3615173646
486	0.9045226131	0.3612173305
487	0.9045226131	0.3612058731
488	0.9045226131	0.3611306883
489	0.9045226131	0.3610399957
490	0.9045226131	0.3607058073
491	0.9045226131	0.3600574559
492	0.9095477387	0.3597833687
493	0.9045226131	0.3595517507
494	0.9095477387	0.3595019145
495	0.9045226131	0.358295801
496	0.9095477387	0.3573603369
497	0.9045226131	0.3572899524
498	0.9045226131	0.3564274776
499	0.9045226131	0.3560727336
500	0.9095477387	0.3551717662
501	0.9095477387	0.3548331908
502	0.9095477387	0.354702025
503	0.9095477387	0.3545683297
504	0.9095477387	0.354388482
505	0.9095477387	0.3539968198
506	0.9095477387	0.3539553826
507	0.9145728643	0.3534112653
508	0.9145728643	0.352942079
509	0.9145728643	0.3525979003
510	0.9145728643	0.352506417
511	0.9145728643	0.3521767296
512	0.9095477387	0.3514495267
513	0.9145728643	0.3509890999
514	0.9145728643	0.3508030384
515	0.9145728643	0.3507650062
516	0.9145728643	0.3503828897
517	0.9145728643	0.3502998315
518	0.9095477387	0.3498036631
519	0.9095477387	0.3495898792
520	0.9145728643	0.3484769815
521	0.9145728643	0.3481241058
522	0.9145728643	0.3479495593
523	0.9145728643	0.3473269272
524	0.9095477387	0.3469600444
525	0.9095477387	0.3468937478
526	0.9095477387	0.3468257954
527	0.9145728643	0.3461275505
528	0.9145728643	0.3458480806
529	0.9145728643	0.3451254167
530	0.9145728643	0.3450769185
531	0.9145728643	0.344830182
532	0.9145728643	0.3441563844
533	0.9145728643	0.3439383277
534	0.9145728643	0.34314124
535	0.9145728643	0.3431134245
536	0.9145728643	0.3421703173
537	0.9145728643	0.3416359533
538	0.9145728643	0.3414384563
539	0.9195979899	0.3405623433
540	0.9195979899	0.340389944
541	0.9195979899	0.3395758047
542	0.9195979899	0.3393262989
543	0.9195979899	0.3389260472
544	0.9195979899	0.3388627349
545	0.9195979899	0.3386878918
546	0.9195979899	0.3378629629
547	0.9195979899	0.3375953499
548	0.9195979899	0.3371271988
549	0.9195979899	0.3370471343
550	0.9195979899	0.3364744925
551	0.9195979899	0.3364283248
552	0.9195979899	0.33617837
553	0.9195979899	0.3357895478
554	0.9195979899	0.3354801941
555	0.9195979899	0.3349858533
556	0.9195979899	0.3347873743
